Tempo execução determinante 
teste, LaPlace, Chio, Eliminacao Gauss 
797, 8378257, 41839, 7360
798, 8379876, 41779, 7425
799, 8384877, 41894, 7450
800, 8376412, 41634, 7295
801, 8377242, 42114, 7465
802, 8374762, 41704, 7435
803, 8385117, 42379, 7420
804, 8385731, 41880, 7330
805, 8385371, 41685, 7460
806, 8381482, 42105, 7374
807, 8394396, 41809, 7390
808, 8380787, 42004, 7465
809, 8389156, 41800, 7470
810, 8380122, 41774, 7380
811, 8389597, 41914, 7425
812, 8382801, 41745, 7394
813, 8384632, 41699, 7450
814, 8379061, 41929, 7475
815, 8388397, 41749, 7460
816, 8386487, 42014, 7405
817, 8382702, 41944, 7494
818, 8376962, 42074, 7590
819, 8383551, 41834, 7425
820, 8390667, 41829, 7435
821, 8386681, 41829, 7585
822, 8390932, 41755, 7475
823, 8382147, 42279, 7330
824, 8381406, 41869, 7450
825, 8378062, 42019, 7435
826, 8383581, 41839, 7450
827, 8391377, 41964, 7365
828, 8383207, 41529, 7390
829, 8449436, 45049, 7800
830, 8561363, 47794, 8715
831, 8405521, 42499, 7470
832, 8385017, 41884, 7580
833, 8394716, 42499, 7585
834, 8383702, 42374, 7410
835, 8389986, 41924, 7440
836, 8385142, 41769, 7370
837, 8382246, 42044, 7355
838, 8381747, 41639, 7485
839, 8387227, 41694, 7505
840, 8384446, 41829, 7455
841, 8386977, 41769, 7515
842, 8381147, 41769, 7340
843, 8382122, 41289, 7415
844, 8387581, 43284, 7725
845, 8403177, 42779, 7510
846, 8385751, 41789, 7455
847, 8376912, 41939, 7365
848, 8381357, 41594, 7445
849, 8381487, 42019, 7520
850, 8381947, 42049, 7630
851, 8404272, 41923, 7405
852, 8393627, 42239, 7390
853, 8381216, 42154, 7400
854, 8386262, 41819, 7659
855, 8378732, 41784, 7370
856, 8397756, 41699, 7365
857, 8386437, 41844, 7480
858, 8378217, 41619, 7400
859, 8386837, 41794, 7350
860, 8376512, 41634, 7350
861, 8382372, 41839, 7345
862, 8388892, 41949, 7450
863, 8385141, 42005, 7345
864, 8381642, 42114, 7795
865, 8379262, 41549, 7430
866, 8381887, 42319, 7570
867, 8421841, 43334, 8010
868, 8394932, 41934, 7355
869, 8378066, 41779, 7470
870, 8382427, 41809, 7360
871, 8380561, 42010, 7494
872, 8381672, 41624, 7405
873, 8375012, 41529, 7580
874, 9367291, 43794, 7510
875, 8465691, 42504, 7550
876, 8393437, 42314, 7440
877, 8396537, 41834, 7405
878, 8384616, 42069, 7415
879, 8382072, 41834, 7400
880, 8396307, 41844, 7510
881, 8380036, 41729, 7430
882, 8380737, 42109, 7485
883, 8389141, 42069, 7425
884, 8385611, 41765, 7415
885, 8382012, 41854, 7475
886, 8408982, 42104, 7505
887, 8385317, 42304, 7655
888, 8386161, 41949, 7480
889, 8386832, 41804, 7415
890, 8388247, 41864, 7400
891, 8381517, 41709, 7475
892, 8389772, 41914, 7435
893, 8378917, 41789, 7350
894, 8381692, 42149, 7445
895, 8391327, 41719, 7495
896, 8403251, 41924, 7475
897, 8389396, 41884, 7460
898, 8391867, 41914, 7410
899, 8405660, 44079, 8400
900, 8505669, 46734, 9105
901, 8552113, 43414, 7870
902, 8391542, 41854, 7415
903, 8389812, 43340, 7850
904, 8386667, 41759, 7435
905, 8377493, 41979, 7454
906, 8378347, 42039, 7430
907, 8374712, 41764, 7434
908, 8381117, 41829, 7430
909, 8389711, 41719, 7429
910, 8381492, 42074, 7485
911, 8382551, 42419, 7425
912, 8392792, 42125, 7439
913, 8381837, 41784, 7405
914, 8376817, 41839, 7400
915, 8381642, 41929, 7420
916, 8378962, 41870, 7390
917, 8375467, 41949, 7365
918, 8379221, 41750, 7455
